tt,ID,test,swap,FI,pval_bl,pval_FI
bbd,30643,fisher,2,21,5.596126614755737e-06,0.0613531766832273
bbd,30643,chi2,1,16,2.239035386446301e-06,0.06887831885884632
bbd,30643,chi2,2,22,2.239035386446301e-06,0.0639459954379367
bbd,30643,chi2_cont,1,15,4.8349782128333055e-06,0.06538714058555697
bbd,30643,chi2_cont,2,20,4.8349782128333055e-06,0.05210777059743598
bbd,45362,fisher,1,14,7.339831750556132e-06,0.05849275130203407
bbd,45362,fisher,2,8,7.339831750556132e-06,0.09678196172570701
bbd,45362,chi2,1,15,5.345421739668317e-06,0.06437449309083236
bbd,45362,chi2,2,8,5.345421739668317e-06,0.05876482813326696
bbd,45362,chi2_cont,1,13,1.859045103649914e-05,0.055810252707923245
bbd,45362,chi2_cont,2,7,1.859045103649914e-05,0.05164647703030074
bbd,34126,fisher,1,12,0.0007493937745446077,0.05971877943382593
bbd,34126,fisher,2,9,0.0007493937745446077,0.06968416951431677
bbd,34126,chi2,1,12,0.0006967233869678609,0.05508532936485134
bbd,34126,chi2,2,9,0.0006967233869678609,0.058744678853104075
bbd,34126,chi2_cont,1,11,0.0011749151011812313,0.05851865907564121
bbd,34126,chi2_cont,2,8,0.0011749151011812313,0.056220394636568034
bbd,33896,fisher,1,5,0.00011907597046915916,0.08668730650154786
bbd,33896,fisher,2,4,0.00011907597046915916,0.05727554179566552
bbd,33896,chi2,1,6,5.2278657832674425e-05,0.06028917399060221
bbd,33896,chi2,2,5,5.2278657832674425e-05,0.050961936967763424
bbd,33896,chi2_cont,1,5,0.0003234799467258453,0.09353251268909288
bbd,33896,chi2_cont,2,4,0.0003234799467258453,0.06076123666389822
bbd,762,fisher,1,4,0.0036084778001964626,0.10777084515031168
bbd,762,fisher,2,2,0.0036084778001964626,0.06888183178597243
bbd,762,chi2,1,5,0.0021914808865128475,0.07933809635684806
bbd,762,chi2,2,3,0.0021914808865128475,0.09719609914050452
bbd,762,chi2_cont,1,3,0.007562847214928279,0.06458944854615503
bbd,762,chi2_cont,2,2,0.007562847214928279,0.08517945969518793
bbd,34137,fisher,1,2,0.015583165759946822,0.05610646477252962
bbd,34137,fisher,2,2,0.015583165759946822,0.050539104702451536
bbd,34137,chi2,1,3,0.011589817134390074,0.07513165610358293
bbd,34137,chi2,2,3,0.011589817134390074,0.06770170389476066
bbd,34137,chi2_cont,1,2,0.02251700642766328,0.0745057147651317
bbd,34137,chi2_cont,2,2,0.02251700642766328,0.0695585733150616
bbd,35048,fisher,1,54,1.7836752862546238e-27,0.16104833914665756
